dispute_id,amount,reason,delivery_status,delivery_proof,refund_status,customer_message,merchant_message,transaction_date,delivery_date,ground_truth
CB00001,10976,product_not_received,delivered,True,issued,I received the product but there is an issue.,Customer contacted support.,2026-07-30,2026-08-08,DO_NOT_CONTEST
CB00002,1924,unauthorized_transaction,delivered,True,not_issued,I received the product but there is an issue.,Customer contacted support.,2026-04-18,2026-04-28,CONTEST
CB00003,934,product_not_as_described,unknown,True,issued,I was charged twice.,No customer communication was received.,2026-06-15,2026-06-16,DO_NOT_CONTEST
CB00004,12932,product_not_as_described,unknown,False,issued,I don't recognize this transaction.,Customer contacted support.,2026-07-01,2026-07-07,DO_NOT_CONTEST
CB00005,2174,product_not_received,failed,False,not_issued,I don't recognize this transaction.,No customer communication was received.,2026-06-19,2026-06-20,DO_NOT_CONTEST
CB00006,12455,unauthorized_transaction,unknown,False,not_issued,I did not receive my order.,No customer communication was received.,2026-06-11,2026-06-21,HUMAN_REVIEW
CB00007,14618,duplicate_charge,unknown,True,not_issued,I did not receive my order.,Customer contacted support.,2026-06-12,2026-06-14,HUMAN_REVIEW
CB00008,14513,product_not_as_described,delivered,False,issued,I was charged twice.,Delivery was completed.,2026-07-15,2026-07-21,DO_NOT_CONTEST
CB00009,6320,product_not_as_described,unknown,True,issued,The product I received is different from what I ordered.,Customer contacted support.,2026-04-11,2026-04-15,DO_NOT_CONTEST
CB00010,3177,unauthorized_transaction,failed,True,issued,I don't recognize this transaction.,Order was processed normally.,2026-06-28,2026-06-29,DO_NOT_CONTEST
CB00011,13689,duplicate_charge,failed,True,issued,I received the product but there is an issue.,No customer communication was received.,2026-06-06,2026-06-10,DO_NOT_CONTEST
CB00012,11238,unauthorized_transaction,failed,True,issued,I don't recognize this transaction.,Customer contacted support.,2026-06-23,2026-07-02,DO_NOT_CONTEST
CB00013,9330,duplicate_charge,unknown,False,issued,I don't recognize this transaction.,Customer contacted support.,2026-07-21,2026-07-30,DO_NOT_CONTEST
CB00014,8585,product_not_received,delivered,True,not_issued,I received the product but there is an issue.,Refund request was received.,2026-03-26,2026-03-28,CONTEST
CB00015,6804,unauthorized_transaction,unknown,False,issued,The product I received is different from what I ordered.,Order was processed normally.,2026-03-04,2026-03-06,DO_NOT_CONTEST
CB00016,11669,duplicate_charge,unknown,True,issued,I don't recognize this transaction.,Refund request was received.,2026-07-16,2026-07-24,DO_NOT_CONTEST
CB00017,553,duplicate_charge,unknown,True,not_issued,I don't recognize this transaction.,No customer communication was received.,2026-03-23,2026-03-27,HUMAN_REVIEW
CB00018,3004,duplicate_charge,delivered,False,not_issued,I was charged twice.,Order was processed normally.,2026-07-28,2026-08-03,HUMAN_REVIEW
CB00019,14896,duplicate_charge,delivered,True,not_issued,The product I received is different from what I ordered.,Order was processed normally.,2026-08-04,2026-08-12,CONTEST
CB00020,13869,product_not_received,unknown,True,not_issued,I was charged twice.,No customer communication was received.,2026-07-14,2026-07-19,HUMAN_REVIEW
CB00021,9145,unauthorized_transaction,delivered,False,not_issued,I was charged twice.,Delivery was completed.,2026-05-05,2026-05-14,HUMAN_REVIEW
CB00022,7897,product_not_received,delivered,True,not_issued,I don't recognize this transaction.,Order was processed normally.,2026-03-28,2026-04-06,CONTEST
CB00023,4270,product_not_as_described,delivered,True,not_issued,I received the product but there is an issue.,Order was processed normally.,2026-08-17,2026-08-23,CONTEST
CB00024,1660,product_not_as_described,failed,True,issued,The product I received is different from what I ordered.,Customer contacted support.,2026-04-01,2026-04-11,DO_NOT_CONTEST
CB00025,8244,product_not_as_described,failed,True,issued,I did not receive my order.,Order was processed normally.,2026-03-10,2026-03-17,DO_NOT_CONTEST
CB00026,6304,unauthorized_transaction,failed,True,issued,I did not receive my order.,Order was processed normally.,2026-05-14,2026-05-20,DO_NOT_CONTEST
CB00027,13616,product_not_received,delivered,True,not_issued,The product I received is different from what I ordered.,Refund request was received.,2026-07-21,2026-07-28,CONTEST
CB00028,3506,duplicate_charge,failed,True,not_issued,I was charged twice.,No customer communication was received.,2026-07-31,2026-08-01,DO_NOT_CONTEST
CB00029,11184,product_not_received,delivered,True,not_issued,I was charged twice.,Refund request was received.,2026-04-24,2026-04-28,CONTEST
CB00030,14666,unauthorized_transaction,delivered,False,not_issued,I did not receive my order.,Refund request was received.,2026-06-19,2026-06-27,HUMAN_REVIEW
CB00031,5173,unauthorized_transaction,unknown,True,issued,I received the product but there is an issue.,Delivery was completed.,2026-07-01,2026-07-02,DO_NOT_CONTEST
CB00032,9989,product_not_received,unknown,True,issued,I did not receive my order.,No customer communication was received.,2026-04-25,2026-05-04,DO_NOT_CONTEST
CB00033,14470,product_not_as_described,delivered,True,not_issued,I did not receive my order.,No customer communication was received.,2026-08-08,2026-08-12,CONTEST
CB00034,7115,product_not_received,unknown,True,not_issued,The product I received is different from what I ordered.,Order was processed normally.,2026-05-10,2026-05-20,HUMAN_REVIEW
CB00035,9760,duplicate_charge,failed,False,not_issued,I received the product but there is an issue.,Delivery was completed.,2026-05-16,2026-05-19,DO_NOT_CONTEST
CB00036,11504,duplicate_charge,failed,True,issued,I did not receive my order.,Refund request was received.,2026-03-19,2026-03-29,DO_NOT_CONTEST
CB00037,2138,product_not_received,unknown,False,not_issued,I received the product but there is an issue.,Delivery was completed.,2026-08-08,2026-08-12,HUMAN_REVIEW
CB00038,6554,duplicate_charge,delivered,False,issued,The product I received is different from what I ordered.,No customer communication was received.,2026-08-23,2026-09-01,DO_NOT_CONTEST
CB00039,5405,product_not_received,delivered,True,issued,I did not receive my order.,No customer communication was received.,2026-07-17,2026-07-22,DO_NOT_CONTEST
CB00040,5116,product_not_as_described,unknown,True,issued,I don't recognize this transaction.,No customer communication was received.,2026-04-22,2026-04-27,DO_NOT_CONTEST
CB00041,14362,product_not_received,delivered,False,issued,I did not receive my order.,Order was processed normally.,2026-06-01,2026-06-04,DO_NOT_CONTEST
CB00042,10938,duplicate_charge,delivered,False,issued,The product I received is different from what I ordered.,Order was processed normally.,2026-07-28,2026-07-30,DO_NOT_CONTEST
CB00043,14968,product_not_as_described,unknown,False,not_issued,The product I received is different from what I ordered.,No customer communication was received.,2026-07-19,2026-07-26,HUMAN_REVIEW
CB00044,2588,product_not_received,failed,True,issued,I don't recognize this transaction.,Customer contacted support.,2026-03-04,2026-03-08,DO_NOT_CONTEST
CB00045,11427,product_not_received,failed,True,issued,I received the product but there is an issue.,Customer contacted support.,2026-07-11,2026-07-18,DO_NOT_CONTEST
CB00046,906,product_not_as_described,unknown,False,issued,I received the product but there is an issue.,Delivery was completed.,2026-07-16,2026-07-18,DO_NOT_CONTEST
